col_0,col_1,col_2
-1.9039846108650833,1,0
-1.8587700141340593,1,0
-1.8529740711069824,1,0
-1.814612816324623,1,0
-1.7760317189600932,0,1
-1.7391872305599498,1,0
-1.7331292404700185,1,0
-1.7286224176627178,1,0
-1.7046405644489024,1,0
-1.6836779113223412,1,0
-1.6816917370065403,1,0
-1.6624475990419452,0,1
-1.661543044014256,1,0
-1.6552940339926183,1,0
-1.6523257436707377,1,0
-1.6514200878145575,0,1
-1.649679660581456,0,1
-1.648788691091504,1,0
-1.643693005774662,1,0
-1.6418336375239373,0,1
-1.634243377429986,1,0
-1.629621312617421,1,0
-1.6260472964047523,0,1
-1.6243435492181804,1,0
-1.619984710445344,0,1
-1.6199602192655371,0,1
-1.6196438316421455,1,0
-1.6173654931564208,1,0
-1.6168347437349633,1,0
-1.6105241936946293,1,0
-1.609912011089638,1,0
-1.601875218579233,1,0
-1.600860062659082,0,1
-1.6006202065209,1,0
-1.6003850081318909,1,0
-1.6003436261392412,0,1
-1.5978285383864173,1,0
-1.59308856069641,1,0
-1.590934204942819,1,0
-1.5901708111447128,1,0
-1.5891410186018933,1,0
-1.5834691051877716,1,0
-1.5775769694256607,0,1
-1.5753477602416068,0,1
-1.5744190797507065,1,0
-1.57074359365031,1,0
-1.566602319131066,1,0
-1.5648575733120629,1,0
-1.5603553031126267,1,0
-1.555872338221128,1,0
-1.5482842373415415,0,1
-1.5464263855429792,0,1
-1.544876699495624,1,0
-1.5419981889747187,0,1
-1.5389059294899083,1,0
-1.5357926408763791,1,0
-1.534913978474894,1,0
-1.533047336552453,1,0
-1.531925890499022,1,0
-1.5310205964408292,1,0
-1.5294019599807707,1,0
-1.5246789631381592,1,0
-1.5232703063884863,1,0
-1.523156051559196,1,0
-1.5199097554098195,1,0
-1.518608760068164,1,0
-1.5180378076969203,0,1
-1.5179537606250275,0,1
-1.5168841108821418,0,1
-1.5164914840267287,1,0
-1.5154492895728944,0,1
-1.51020932610402,1,0
-1.5100953207753287,1,0
-1.509536365261817,1,0
-1.506626464264616,1,0
-1.5057778205385115,1,0
-1.5047233660543855,1,0
-1.5046960085627834,1,0
-1.5035159764859003,1,0
-1.501052002047858,1,0
-1.5004187525237342,1,0
-1.4996666605205276,1,0
-1.4956253763576688,1,0
-1.4937318489460691,1,0
-1.4906586507850916,0,1
-1.4898005807885175,1,0
-1.488830000141214,1,0
-1.4855794418327068,1,0
-1.4847062860937947,1,0
-1.4819131135833754,1,0
-1.4817241274418875,1,0
-1.481391151131972,1,0
-1.4792735959523091,0,1
-1.4787992360535986,0,1
-1.4776637621303303,1,0
-1.477360541287556,1,0
-1.4765936571678446,1,0
-1.4746746729506224,0,1
-1.473173272253896,0,1
-1.4724383413181377,1,0
-1.4722090691395546,1,0
-1.4701219737388027,1,0
-1.468968102721801,1,0
-1.4689677947089634,1,0
-1.467355010702766,1,0
-1.4661710173559679,1,0
-1.4631901410998007,1,0
-1.462401915281472,1,0
-1.461975403149027,1,0
-1.461458441484214,1,0
-1.4607797353335914,1,0
-1.4583537907663813,0,1
-1.4575586296667935,0,1
-1.4538778104688743,1,0
-1.453681935155707,0,1
-1.4536642219057228,1,0
-1.4533819851361092,1,0
-1.4519475598619875,0,1
-1.4518487098723443,1,0
-1.4461363288803295,1,0
-1.446087301675054,1,0
-1.4449207383862972,0,1
-1.444607168052674,1,0
-1.4429900235322997,1,0
-1.442271442137094,0,1
-1.4418771353498117,1,0
-1.4418084354009664,1,0
-1.4414601600909032,0,1
-1.4403094551899884,0,1
-1.4357365259899684,1,0
-1.4349628364970488,1,0
-1.4334020144651947,1,0
-1.433076218320205,1,0
-1.4313445960377087,1,0
-1.430361452202483,0,1
-1.429632003861363,1,0
-1.429479746806135,1,0
-1.4266344488761595,1,0
-1.4264695350636365,1,0
-1.4262056873079891,1,0
-1.4258139995091672,1,0
-1.4244951411206195,1,0
-1.4238602636582591,0,1
-1.4232662397221079,1,0
-1.4232164161852368,1,0
-1.4201947806062012,0,1
-1.4191849267956347,1,0
-1.4190387741329986,1,0
-1.4189675316595936,1,0
-1.4177419743042512,1,0
-1.4173624499581543,1,0
-1.4148386224326424,1,0
-1.4113227021539299,1,0
-1.411320518471925,1,0
-1.4111383374068749,1,0
-1.4105921674184256,1,0
-1.4104535182089957,0,1
-1.4093708193987415,1,0
-1.4078141219371276,0,1
-1.4076483120528662,1,0
-1.40722346061724,1,0
-1.407156672107006,0,1
-1.405484656990106,0,1
-1.4052385864403427,1,0
-1.4042093725319535,1,0
-1.4012957823963244,1,0
-1.3991426131924412,1,0
-1.3973393442267728,0,1
-1.393424800677709,0,1
-1.3928244824640983,0,1
-1.392773720604457,1,0
-1.3916521193949631,0,1
-1.3916135341862537,1,0
-1.3912506119872439,1,0
-1.3904980204863895,1,0
-1.3899031230747592,1,0
-1.3892903306992952,0,1
-1.3892247370400155,1,0
